Regional Credibility Measure,Sample Size Indicator,Precision Indicator,Relative Abundance Indicator,AOU Number,Region Code,Ebird Analysis,Species Name,Region,Sample Size,Long-term Trend (1966-2015),Annual Trend (1966-2015),Lower CI,Upper CI,LT Precision,10 yr Trend (2005-2015),Annual Trend (2005-2015),Lower CI,Upper CI,10-yr Precision,Relative Abundance ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Y,G,G,Y,6860,SUR,1,Canada Warbler,Survey-wide,755,-63.76,-2.05,-2.81,-1.33,0.76,-6.41,-0.66,-2.44,1.43,1.78,0.98,100,99.34,98.684356,98.03303925,97.38602119,96.74327345,96.10476785,95.47047638,94.84037123,94.21442478,93.59260958,-6.41
Y,G,Y,G,1470,SUR,0,Canvasback,Survey-wide,296,10.29,0.2,-4.13,2.51,4.33,43.12,3.65,-4.58,11.97,8.23,1.04,100,103.65,107.433225,111.3545377,115.4189783,119.631771,123.9983307,128.5242698,133.2154056,138.0777679,143.1176064,43.12
G,G,G,G,5910,SUR,0,Canyon Towhee,Survey-wide,171,-40.97,-1.07,-1.96,0.05,0.89,-1.49,-0.15,-2.14,3.49,1.99,2.53,100,99.85,99.700225,99.55067466,99.40134865,99.25224663,99.10336826,98.95471321,98.80628114,98.65807171,98.51008461,-1.49
Y,G,G,Y,7170,SUR,0,Canyon Wren,Survey-wide,336,11.37,0.22,-1.01,1.27,1.23,14.12,1.33,-1.14,4.16,2.47,0.2,100,101.33,102.677689,104.0433023,105.4270782,106.8292583,108.2500875,109.6898136,111.1486881,112.6269657,114.1249043,14.12
G,G,G,G,6500,SUR,1,Cape May Warbler,Survey-wide,484,-71.22,-2.51,-5.19,-0.3,2.68,36.49,3.16,-0.96,8.15,4.12,1.28,100,103.16,106.419856,109.7827234,113.2518575,116.8306162,120.5224637,124.3309735,128.2598323,132.312843,136.4939288,36.49
G,G,G,G,7360,SUR,0,Carolina Chickadee,Survey-wide,1316,-17.02,-0.38,-0.56,-0.2,0.18,-9.2,-0.96,-1.46,-0.47,0.5,7.51,100,99.04,98.089216,97.14755953,96.21494295,95.2912795,94.37648322,93.47046898,92.57315248,91.68445021,90.80427949,-9.2
G,G,G,G,7180,SUR,0,Carolina Wren,Survey-wide,1763,66.03,1.04,0.85,1.21,0.19,-8.83,-0.92,-1.36,-0.49,0.44,10.57,100,99.08,98.168464,97.26531413,96.37047324,95.48386489,94.60541333,93.73504353,92.87268113,92.01825246,91.17168454,-8.83
R,G,R,Y,640,SUR,0,Caspian Tern,Survey-wide,188,-8.45,-0.18,-8.52,2.22,8.34,49.74,4.12,-4.24,10.26,8.36,0.18,100,104.12,108.409744,112.8762255,117.5267259,122.3688271,127.4104227,132.6597321,138.1253131,143.816076,149.7412983,49.74
G,G,G,G,5180,SUR,0,Cassin's Finch,Survey-wide,459,-71.08,-2.5,-3.45,-1.63,0.95,-6.12,-0.63,-2.31,1.16,1.68,2.46,100,99.37,98.743969,98.121882,97.50371414,96.88944074,96.27903726,95.67247933,95.06974271,94.47080333,93.87563727,-6.12
G,G,G,G,4480,SUR,0,Cassin's Kingbird,Survey-wide,259,9.75,0.19,-0.68,1.05,0.87,12,1.14,-0.32,2.68,1.46,4.36,100,101.14,102.292996,103.4591362,104.6385703,105.83145,107.0379285,108.2581609,109.492304,110.7405162,112.0029581,12
G,G,G,G,5780,SUR,0,Cassin's Sparrow,Survey-wide,333,-30.85,-0.75,-2.3,0.33,1.55,-15.93,-1.72,-4.27,1.2,2.55,51.44,100,98.28,96.589584,94.92824316,93.29547737,91.69079516,90.11371349,88.56375761,87.04046098,85.54336505,84.07201917,-15.93
G,G,G,G,6291,SUR,1,Cassin's Vireo,Survey-wide,471,69.28,1.08,0.46,1.65,0.62,-3.83,-0.39,-2.08,1.2,1.69,2.27,100,99.61,99.221521,98.83455707,98.4491023,98.0651508,97.68269671,97.30173419,96.92225743,96.54426062,96.16773801,-3.83
G,G,G,G,2001,SUR,0,Cattle Egret,Survey-wide,833,-49.38,-1.38,-2.58,-0.46,1.2,-2.08,-0.21,-2.08,2.5,1.87,61.25,100,99.79,99.580441,99.37132207,99.1626423,98.95440075,98.74659651,98.53922865,98.33229627,98.12579845,97.91973428,-2.08
Y,G,Y,G,6121,SUR,1,Cave Swallow,Survey-wide,115,1260001.76,21.25,16,25.91,5.25,148.28,9.52,-3.36,22.67,12.88,10.66,100,109.52,119.946304,131.3651921,143.8711584,157.5676927,172.5681371,188.9966237,206.9891023,226.6944648,248.2757779,148.28
G,G,G,G,6190,SUR,0,Cedar Waxwing,Survey-wide,2786,3.49,0.07,-0.53,0.47,0.6,9.48,0.91,-0.06,1.77,0.97,5.42,100,100.91,101.828281,102.7549184,103.6899881,104.633567,105.5857325,106.5465626,107.5161364,108.4945332,109.4818334,9.48
Y,G,G,Y,6580,SUR,1,Cerulean Warbler,Survey-wide,394,-72.91,-2.63,-3.43,-1.73,0.8,-12.35,-1.31,-3.7,1.83,2.39,0.39,100,98.69,97.397161,96.12125819,94.86206971,93.6193766,92.39296276,91.18261495,89.98812269,88.80927829,87.64587674,-12.35
G,G,G,G,7410,SUR,0,Chestnut-backed Chickadee,Survey-wide,250,-52.79,-1.52,-2.36,-0.74,0.84,-14.98,-1.61,-3.61,0.34,2,7.92,100,98.39,96.805921,95.24734567,93.71386341,92.20507021,90.72056858,89.25996742,87.82288195,86.40893355,85.01774972,-14.98
G,G,G,G,5380,SUR,0,Chestnut-collared Longspur,Survey-wide,220,-87.72,-4.19,-5.11,-3.3,0.92,-25.49,-2.9,-4.64,-0.92,1.74,54.62,100,97.1,94.2841,91.5498611,88.89491513,86.31696259,83.81377067,81.38317132,79.02305936,76.73139063,74.50618031,-25.49
G,G,G,G,6590,SUR,1,Chestnut-sided Warbler,Survey-wide,1208,-43.26,-1.15,-1.79,-0.61,0.64,2.84,0.28,-0.61,1.23,0.89,10.57,100,100.28,100.560784,100.8423542,101.1247128,101.407862,101.691804,101.976541,102.2620754,102.5484092,102.8355447,2.84
G,G,G,G,4870,SUR,0,Chihuahuan Raven,Survey-wide,167,-16.61,-0.37,-1.49,0.71,1.12,-0.1,-0.01,-2.23,2.3,2.22,7.07,100,99.99,99.980001,99.970003,99.960006,99.95001,99.940015,99.930021,99.92002799,99.91003599,99.90004499,-0.1
G,G,G,G,4230,SUR,1,Chimney Swift,Survey-wide,2537,-71.08,-2.5,-2.65,-2.35,0.15,-24.02,-2.71,-3.09,-2.32,0.38,8.15,100,97.29,94.653441,92.08833275,89.59273893,87.16477571,84.80261028,82.50445955,80.26858869,78.09330994,75.97698124,-24.02
G,G,G,G,5600,SUR,0,Chipping Sparrow,Survey-wide,3798,-25.54,-0.6,-0.88,-0.37,0.28,-4.41,-0.45,-0.88,-0.01,0.43,11.75,100,99.55,99.102025,98.65606589,98.21211359,97.77015908,97.33019336,96.89220749,96.45619256,96.02213969,95.59004006,-4.41
G,G,G,G,4160,SUR,0,Chuck-will's-widow,Survey-wide,754,-68.02,-2.3,-2.61,-1.99,0.31,-16.01,-1.73,-2.44,-1.01,0.71,1.65,100,98.27,96.569929,94.89926923,93.25751187,91.64415692,90.058713,88.50069727,86.9696352,85.46506051,83.98651497,-16.01
G,G,G,G,2882,SUR,0,Chukar,Survey-wide,171,104.43,1.47,-0.43,3.39,1.9,12,1.14,-5.52,7.49,6.66,1.1,100,101.14,102.292996,103.4591362,104.6385703,105.83145,107.0379285,108.2581609,109.492304,110.7405162,112.0029581,12
R,G,R,Y,1410,SUR,0,Cinnamon Teal,Survey-wide,469,-77.18,-2.97,-18.88,-1.23,15.91,3.87,0.38,-2.4,5.84,2.78,0.81,100,100.38,100.761444,101.1443375,101.528686,101.914495,102.3017701,102.6905168,103.0807407,103.4724476,103.8656429,3.87
Y,G,G,Y,2110,SUR,0,Clapper Rail,Survey-wide,63,-34.18,-0.85,-2.98,1.15,2.13,9.7,0.93,-2.28,4.54,3.21,0.51,100,100.93,101.868649,102.8160274,103.7722165,104.7372981,105.711355,106.6944706,107.6867292,108.6882157,109.6990161,9.7
G,G,G,G,4910,SUR,0,Clark's Nutcracker,Survey-wide,397,-11.98,-0.26,-1.59,0.7,1.33,10.13,0.97,-1.2,3.29,2.17,1.02,100,100.97,101.949409,102.9383183,103.93682,104.9450071,105.9629737,106.9908145,108.0286254,109.0765031,110.1345452,10.13
G,G,G,G,5610,SUR,0,Clay-colored Sparrow,Survey-wide,890,-42.98,-1.14,-1.46,-0.81,0.32,-3.15,-0.32,-1.05,0.43,0.73,18.49,100,99.68,99.361024,99.04306872,98.7261309,98.41020728,98.09529462,97.78138968,97.46848923,97.15659007,96.84568898,-3.15
G,G,G,G,6120,SUR,1,Cliff Swallow,Survey-wide,3037,42.12,0.72,0.08,1.22,0.64,61.65,4.92,3.61,6.51,1.31,75.42,100,104.92,110.082064,115.4981015,121.1806081,127.1426941,133.3981146,139.9613019,146.8473979,154.0722899,161.6526465,61.65
Y,G,G,Y,2190,SUR,0,Common Gallinule,Survey-wide,223,-51.84,-1.48,-2.91,-0.09,1.43,-18.54,-2.03,-5.96,1.51,3.93,0.61,100,97.97,95.981209,94.03279046,92.12392481,90.25380914,88.42165681,86.62669718,84.86817523,83.14535127,81.45750064,-18.54
Y,G,G,Y,1510,SUR,0,Common Goldeneye,Survey-wide,343,10.83,0.21,-1.73,1.71,1.94,17.2,1.6,-1.79,5.01,3.39,0.34,100,101.6,103.2256,104.8772096,106.555245,108.2601289,109.9922909,111.7521676,113.5402023,115.3568455,117.202555,17.2
G,G,G,G,5110,SUR,0,Common Grackle,Survey-wide,3438,-57.9,-1.75,-1.89,-1.61,0.14,-17.2,-1.87,-2.26,-1.47,0.39,36.56,100,98.13,96.294969,94.49425308,92.72721055,90.99321171,89.29163865,87.62188501,85.98335576,84.37546701,82.79764577,-17.2
G,G,G,G,3200,SUR,0,Common Ground-Dove,Survey-wide,323,-34.18,-0.85,-1.52,-0.18,0.67,-3.54,-0.36,-2.11,1.18,1.75,2.06,100,99.64,99.281296,98.92388333,98.56775735,98.21291343,97.85934694,97.50705329,97.1560279,96.8062662,96.45776364,-3.54
G,G,G,G,70,SUR,0,Common Loon,Survey-wide,904,38.04,0.66,-0.44,1.49,1.1,10.24,0.98,-0.44,2.44,1.42,1.28,100,100.98,101.969604,102.9689061,103.9780014,104.9969858,106.0259563,107.0650106,108.1142477,109.1737674,110.2436703,10.24
Y,G,G,Y,1290,SUR,0,Common Merganser,Survey-wide,888,-62.47,-1.98,-4.63,-0.48,2.65,8.51,0.82,-1.28,2.97,2.1,0.35,100,100.82,101.646724,102.4802271,103.320565,104.1677936,105.0219695,105.8831497,106.7513915,107.6267529,108.5092923,8.51
G,G,G,G,4200,SUR,1,Common Nighthawk,Survey-wide,2548,-61.52,-1.93,-2.55,-1.59,0.62,-4.6,-0.47,-1.17,0.27,0.7,2.53,100,99.53,99.062209,98.59661662,98.13321252,97.67198642,97.21292808,96.75602732,96.30127399,95.84865801,95.39816931,-4.6
Y,G,G,Y,4180,SUR,0,Common Poorwill,Survey-wide,332,-34.51,-0.86,-2.72,0.48,1.86,18.71,1.73,-1.63,5.98,3.36,0.14,100,101.73,103.489929,105.2803048,107.101654,108.9545127,110.8394257,112.7569478,114.707643,116.6920852,118.7108583,18.71
G,G,G,G,4860,SUR,0,Common Raven,Survey-wide,2533,169,2.04,1.4,2.52,0.64,37.02,3.2,2.41,3.95,0.79,6.6,100,103.2,106.5024,109.9104768,113.4276121,117.0572956,120.8031291,124.6688292,128.6582318,132.7752952,137.0241046,37.02
Y,G,Y,Y,700,SUR,0,Common Tern,Survey-wide,238,-25.17,-0.59,-3.69,2.55,3.1,63.04,5.01,-2.8,15.91,7.81,0.89,100,105.01,110.271001,115.7955782,121.5969366,127.6889431,134.0861592,140.8038758,147.8581499,155.2658433,163.044662,63.04
G,G,G,G,6810,SUR,1,Common Yellowthroat,Survey-wide,3845,-39.19,-1.01,-1.24,-0.83,0.23,-8.09,-0.84,-1.13,-0.55,0.29,9.07,100,99.16,98.327056,97.50110873,96.68209942,95.86996978,95.06466204,94.26611887,93.47428348,92.68909949,91.91051106,-8.09
G,G,G,G,6780,SUR,1,Connecticut Warbler,Survey-wide,236,-61.52,-1.93,-3.28,-0.51,1.35,-8.37,-0.87,-3.83,2.15,2.96,1.11,100,99.13,98.267569,97.41264115,96.56515117,95.72503436,94.89222656,94.06666419,93.24828421,92.43702414,91.63282203,-8.37
R,G,G,R,3330,SUR,0,Cooper's Hawk,Survey-wide,2084,196.09,2.24,1,2.74,1.24,46.61,3.9,2.7,5.07,1.2,0.03,100,103.9,107.9521,112.1622319,116.5365589,121.0814847,125.8036626,130.7100055,135.8076957,141.1041958,146.6072595,46.61
Y,G,G,Y,4300,SUR,0,Costa's Hummingbird,Survey-wide,95,-39.49,-1.02,-3.79,1.49,2.77,-11.19,-1.18,-7.86,5.68,6.68,0.74,100,98.82,97.653924,96.5016077,95.36288873,94.23760664,93.12560288,92.02672077,90.94080546,89.86770396,88.80726505,-11.19
Y,G,G,Y,4461,SUR,0,Couch's Kingbird,Survey-wide,44,10812.2,10.05,7.74,12.59,2.31,135.22,8.93,2.7,13,6.23,0.39,100,108.93,118.657449,129.2535592,140.795902,153.3689761,167.0648256,181.9837146,198.2348603,215.9372333,235.2204282,135.22
Y,G,G,Y,3620,SUR,0,Crested Caracara,Survey-wide,107,1788.4,6.18,4.78,7.49,1.4,44.5,3.75,-0.02,7.22,3.77,0.82,100,103.75,107.640625,111.6771484,115.8650415,120.2099806,124.7178548,129.3947744,134.2470784,139.2813439,144.5043943,44.5
Y,G,G,Y,7120,SUR,0,Crissal Thrasher,Survey-wide,74,-3.85,-0.08,-1.68,1.42,1.6,4.59,0.45,-2.76,3.34,3.21,0.33,100,100.45,100.902025,101.3560841,101.8121865,102.2703413,102.7305579,103.1928454,103.6572132,104.1236706,104.5922272,4.59
G,G,G,G,7070,SUR,0,Curve-billed Thrasher,Survey-wide,222,-36.73,-0.93,-1.77,-0.07,0.84,-1.19,-0.12,-1.77,1.91,1.65,1.94,100,99.88,99.760144,99.64043183,99.52086331,99.40143827,99.28215655,99.16301796,99.04402234,98.92516951,98.80645931,-1.19
G,G,G,G,35670,SUR,0,Dark-eyed Junco,Survey-wide,1637,-49.38,-1.38,-1.82,-1,0.44,-14.38,-1.54,-2.49,-0.58,0.95,13.34,100,98.46,96.943716,95.45078277,93.98084072,92.53353577,91.10851932,89.70544812,88.32398422,86.96379487,85.62455242,-14.38
G,G,G,G,6040,SUR,0,Dickcissel,Survey-wide,1269,-16.2,-0.36,-0.86,0.05,0.5,7.65,0.74,-0.27,1.72,1.01,33.3,100,100.74,101.485476,102.2364685,102.9930184,103.7551667,104.522955,105.2964248,106.0756184,106.8605779,107.6513462,7.65
G,G,G,G,1200,SUR,0,Double-crested Cormorant,Survey-wide,1124,510.19,3.76,1.26,5.32,2.5,125.68,8.48,4.75,13.91,3.73,1.02,100,108.48,117.679104,127.658292,138.4837152,150.2271342,162.9663952,176.7859455,191.7773937,208.0401167,225.6819186,125.68
G,G,G,G,3940,SUR,0,Downy Woodpecker,Survey-wide,3471,1.48,0.03,-0.18,0.2,0.21,1.51,0.15,-0.43,0.68,0.58,1.07,100,100.15,100.300225,100.4506753,100.6013514,100.7522534,100.9033818,101.0547368,101.2063189,101.3581284,101.5101656,1.51
G,G,G,G,4690,SUR,0,Dusky Flycatcher,Survey-wide,580,-25.54,-0.6,-1.5,0.18,0.9,-3.83,-0.39,-2.09,1.38,1.7,6.02,100,99.61,99.221521,98.83455707,98.4491023,98.0651508,97.68269671,97.30173419,96.92225743,96.54426062,96.16773801,-3.83
R,G,Y,R,2970,SUR,0,Dusky Grouse,Survey-wide,80,131.74,1.73,-1.73,4.73,3.46,51.62,4.25,-2.16,11.6,6.41,0.02,100,104.25,108.680625,113.2995516,118.1147825,123.1346608,128.3678838,133.8235189,139.5110185,145.4402367,151.6214468,51.62
R,G,R,G,40,SUR,0,Eared Grebe,Survey-wide,307,71.76,1.11,-6.35,4.46,7.46,91.63,6.72,0.16,18.22,6.56,4.31,100,106.72,113.891584,121.5450984,129.7129291,138.4296379,147.7321096,157.6597073,168.2544397,179.561138,191.6276465,91.63
G,G,G,G,7660,SUR,1,Eastern Bluebird,Survey-wide,2535,107.41,1.5,1.3,1.71,0.2,1.11,0.11,-0.48,0.67,0.59,3.3,100,100.11,100.220121,100.3303631,100.4407265,100.5512113,100.6618177,100.7725457,100.8833955,100.9943672,101.105461,1.11
G,G,G,G,4440,SUR,1,Eastern Kingbird,Survey-wide,3428,-46.81,-1.28,-1.44,-1.13,0.16,-10.74,-1.13,-1.58,-0.68,0.45,4.16,100,98.87,97.752769,96.64816271,95.55603847,94.47625524,93.40867355,92.35315554,91.30956488,90.2777668,89.25762804,-10.74
G,G,G,G,5010,SUR,0,Eastern Meadowlark,Survey-wide,2526,-80.49,-3.28,-3.6,-3.03,0.32,-26.64,-3.05,-3.56,-2.29,0.51,24.2,100,96.95,93.993025,91.12623774,88.34688749,85.65230742,83.03991204,80.50719472,78.05172529,75.67114766,73.36317766,-26.64
G,G,G,G,4560,SUR,1,Eastern Phoebe,Survey-wide,2542,11.37,0.22,-0.4,0.59,0.62,-4.31,-0.44,-1.02,0.08,0.58,1.91,100,99.56,99.121936,98.68579948,98.25158196,97.819275,97.38887019,96.96035916,96.53373358,96.10898516,95.68610562,-4.31
R,G,G,R,3730,SUR,0,Eastern Screech-Owl,Survey-wide,577,-46.54,-1.27,-3.28,-0.31,2.01,11.34,1.08,-2.41,4.48,3.49,0.02,100,101.08,102.171664,103.275118,104.3904892,105.5179065,106.6574999,107.8094009,108.9737424,110.1506589,111.340286,11.34
G,G,G,G,5870,SUR,0,Eastern Towhee,Survey-wide,2040,-48.37,-1.34,-1.48,-1.21,0.14,-10.02,-1.05,-1.39,-0.73,0.34,8.63,100,98.95,97.911025,96.88295924,95.86568817,94.85909844,93.86307791,92.87751559,91.90230167,90.93732751,89.98248557,-10.02
Y,G,G,Y,4171,SUR,0,Eastern Whip-poor-will,Survey-wide,781,-74.63,-2.76,-3.78,-2.13,1.02,-12.18,-1.29,-2.94,0.71,1.65,0.3,100,98.71,97.436641,96.17970833,94.93899009,93.71427712,92.50536295,91.31204376,90.1341184,88.97138827,87.82365736,-12.18
G,G,G,G,4610,SUR,1,Eastern Wood-Pewee,Survey-wide,2506,-49.88,-1.4,-1.53,-1.27,0.13,-9.56,-1,-1.4,-0.65,0.4,3.05,100,99,98.01,97.0299,96.059601,95.09900499,94.14801494,93.20653479,92.27446944,91.35172475,90.4382075,-9.56
R,G,Y,R,22860,SUR,0,Eurasian Collared_Dove,Survey-wide,1438,28090998.99,29.18,24.57,31.74,4.61,836.55,25.07,22.76,27.44,2.31,0,100,125.07,156.425049,195.6408088,244.6879595,306.031231,382.7532606,478.7095031,598.7219755,748.8215747,936.5511435,836.55
Y,G,G,Y,6883,SUR,0,Eurasian Tree Sparrow,Survey-wide,38,1476.83,5.79,4.05,7.68,1.74,72.44,5.6,2.11,8.7,3.49,0.8,100,105.6,111.5136,117.7583616,124.3528298,131.3165883,138.6703173,146.435855,154.6362629,163.2958936,172.4404637,72.44
G,G,G,G,4930,SUR,0,European Starling,Survey-wide,4211,-51.36,-1.46,-1.66,-1.3,0.2,-14.03,-1.5,-1.87,-1.14,0.37,45.41,100,98.5,97.0225,95.5671625,94.13365506,92.72165024,91.33082548,89.9608631,88.61145015,87.2822784,85.97304423,-14.03
R,G,R,G,5140,SUR,0,Evening Grosbeak,Survey-wide,1025,-96,-6.36,-18.59,-4.72,12.23,-25.65,-2.92,-5.45,-0.09,2.53,4.44,100,97.08,94.245264,91.49330229,88.82169786,86.22810429,83.71024364,81.26590453,78.89294011,76.58926626,74.35285969,-25.65
Y,G,G,Y,3480,SUR,0,Ferruginous Hawk,Survey-wide,487,34.72,0.61,-0.23,1.34,0.84,14.8,1.39,-0.21,3.08,1.6,0.23,100,101.39,102.799321,104.2282316,105.677004,107.1459143,108.6352425,110.1452724,111.6762917,113.2285922,114.8024696,14.8
G,G,G,G,5630,SUR,0,Field Sparrow,Survey-wide,2192,-68.5,-2.33,-2.6,-2.17,0.27,-19.78,-2.18,-2.71,-1.67,0.53,6.59,100,97.82,95.687524,93.60153598,91.56102249,89.5649922,87.61247537,85.70252341,83.8342084,82.00662266,80.21887828,-19.78
G,G,G,G,4900,SUR,0,Fish Crow,Survey-wide,820,26.45,0.48,0.04,0.92,0.44,16.86,1.57,0.36,2.76,1.21,4.41,100,101.57,103.164649,104.784334,106.429448,108.1003904,109.7975665,111.5213883,113.2722741,115.0506488,116.856944,16.86
Y,G,Y,Y,690,SUR,0,Forster's Tern,Survey-wide,263,-54.63,-1.6,-6.28,0.67,4.68,37.29,3.22,-1.67,11.26,4.89,0.71,100,103.22,106.543684,109.9743906,113.515566,117.1707672,120.9436659,124.838052,128.8578372,133.0070596,137.2898869,37.29
G,G,G,G,5850,SUR,0,Fox Sparrow,Survey-wide,446,-50.63,-1.43,-3.43,-0.04,2,-4.03,-0.41,-4.64,3.13,4.23,2.68,100,99.59,99.181681,98.77503611,98.37005846,97.96674122,97.56507758,97.16506076,96.76668401,96.36994061,95.97482385,-4.03
G,G,G,G,590,SUR,0,Franklin's Gull,Survey-wide,358,-76.94,-2.95,-6.6,-0.67,3.65,-5.08,-0.52,-6.25,6.24,5.73,999.99,100,99.48,98.962704,98.44809794,97.93616783,97.42689976,96.92027988,96.41629442,95.91492969,95.41617206,94.92000796,-5.08
Y,G,Y,G,1780,SUR,0,Fulvous Whistling Duck,Survey-wide,42,48.48,0.81,-3.41,4.7,4.22,89.13,6.58,0.15,14.11,6.43,14.6,100,106.58,113.592964,121.067381,129.0336147,137.5240266,146.5731075,156.217618,166.4967372,177.4522225,189.1285788,89.13
G,G,G,G,1350,SUR,0,Gadwall,Survey-wide,711,261.96,2.66,1.78,3.48,0.88,56.34,4.57,1.8,7.68,2.77,2.24,100,104.57,109.348849,114.3460914,119.5717078,125.0361348,130.7502862,136.7255743,142.973933,149.5078417,156.3403501,56.34
G,G,G,G,2950,SUR,0,Gambel's Quail,Survey-wide,145,15.81,0.3,-1.18,1.56,1.48,-20.35,-2.25,-4.83,0.39,2.58,20.58,100,97.75,95.550625,93.40073594,91.29921938,89.24498694,87.23697474,85.27414281,83.35547459,81.47997641,79.64667694,-20.35
G,G,G,G,4110,SUR,0,Gila Woodpecker,Survey-wide,43,-30.16,-0.73,-1.99,0.63,1.26,6.69,0.65,-1.62,4.05,2.27,12.46,100,100.65,101.304225,101.9627025,102.62546,103.2925255,103.9639269,104.6396925,105.3198505,106.0044295,106.6934583,6.69
G,G,G,G,4140,SUR,0,Gilded Flicker,Survey-wide,37,-44.1,-1.18,-2.97,0.69,1.79,-6.69,-0.69,-3.28,3.29,2.59,6.19,100,99.31,98.624761,97.94425015,97.26843482,96.59728262,95.93076137,95.26883912,94.61148413,93.95866489,93.3103501,-6.69
G,G,G,G,440,SUR,0,Glaucous-winged Gull,Survey-wide,53,-20.61,-0.47,-2.83,1.93,2.36,-7.44,-0.77,-5.92,3.14,5.15,29.36,100,99.23,98.465929,97.70774135,96.95539174,96.20883522,95.46802719,94.73292338,94.00347987,93.27965308,92.56139975,-7.44
Y,G,Y,G,1860,SUR,0,Glossy Ibis,Survey-wide,77,665.04,4.24,0.92,7.22,3.32,124.64,8.43,0.97,16.33,7.46,4.68,100,108.43,117.570649,127.4818547,138.2285751,149.8812439,162.5162328,176.2163512,191.0713896,207.1787078,224.6438729,124.64
Y,G,G,Y,3490,SUR,0,Golden Eagle,Survey-wide,670,-6.18,-0.13,-1.24,0.48,1.11,6.16,0.6,-0.72,2.24,1.32,0.2,100,100.6,101.2036,101.8108216,102.4216865,103.0362166,103.6544339,104.2763606,104.9020187,105.5314308,106.1646194,6.16
G,G,G,G,7480,SUR,0,Golden-crowned Kinglet,Survey-wide,1120,-53.26,-1.54,-2.84,-0.76,1.3,-14.64,-1.57,-4.5,0.88,2.93,3.45,100,98.43,96.884649,95.36356001,93.86635212,92.39265039,90.94208578,89.51429503,88.1089206,86.72561055,85.36401846,-14.64
G,G,G,G,4100,SUR,0,Golden-fronted Woodpecker,Survey-wide,106,-33.86,-0.84,-1.51,-0.15,0.67,-7.16,-0.74,-2.13,0.64,1.39,6.22,100,99.26,98.525476,97.79638748,97.07269421,96.35435627,95.64133404,94.93358816,94.23107961,93.53376962,92.84161973,-7.16
Y,G,G,Y,6420,SUR,1,Golden-winged Warbler,Survey-wide,415,-67.7,-2.28,-3.08,-1.47,0.8,4.07,0.4,-2.32,3.52,2.72,0.33,100,100.4,100.8016,101.2048064,101.6096256,102.0160641,102.4241284,102.8338249,103.2451602,103.6581408,104.0727734,4.07
G,G,G,G,6640,SUR,1,Grace's Warbler,Survey-wide,65,-52.32,-1.5,-2.9,-0.12,1.4,-13.15,-1.4,-3.96,1.59,2.56,4.92,100,98.6,97.2196,95.8585256,94.51650624,93.19327515,91.8885693,90.60212933,89.33369952,88.08302773,86.84986534,-13.15
G,G,G,G,5460,SUR,0,Grasshopper Sparrow,Survey-wide,2161,-71.37,-2.52,-3.69,-2.04,1.17,-7.44,-0.77,-1.98,0.45,1.21,8.64,100,99.23,98.465929,97.70774135,96.95539174,96.20883522,95.46802719,94.73292338,94.00347987,93.27965308,92.56139975,-7.44
G,G,G,G,7040,SUR,1,Gray Catbird,Survey-wide,2924,-0.49,-0.01,-0.11,0.1,0.1,8.51,0.82,0.53,1.11,0.29,2.39,100,100.82,101.646724,102.4802271,103.320565,104.1677936,105.0219695,105.8831497,106.7513915,107.6267529,108.5092923,8.51
G,G,G,G,4691,SUR,0,Gray Flycatcher,Survey-wide,253,224.29,2.43,1.45,3.51,0.98,40.11,3.43,1.93,6.62,1.5,1.46,100,103.43,106.977649,110.6469824,114.4421739,118.3675404,122.4275471,126.6268119,130.9701116,135.4623864,140.1087462,40.11
G,G,G,G,4840,SUR,0,Gray Jay,Survey-wide,750,-14.53,-0.32,-1.61,0.67,1.29,7.44,0.72,-1.63,2.97,2.35,2.04,100,100.72,101.445184,102.1755893,102.9112536,103.6522146,104.3985105,105.1501798,105.9072611,106.6697934,107.4378159,7.44
Y,G,G,Y,2881,SUR,0,Gray Partridge,Survey-wide,437,-58.94,-1.8,-3.64,-0.73,1.84,-18.13,-1.98,-5.53,1.58,3.55,0.47,100,98.02,96.079204,94.17683576,92.31213441,90.48435415,88.69276394,86.93664721,85.2153016,83.52803863,81.87418346,-18.13
Y,G,G,Y,6340,SUR,1,Gray Vireo,Survey-wide,88,176.86,2.1,-0.28,4.24,2.38,63.98,5.07,1.88,8.47,3.19,0.46,100,105.07,110.397049,115.9941794,121.8750843,128.0541511,134.5464965,141.3680039,148.5353617,156.0661045,163.978656,63.98
R,G,R,G,470,SUR,0,Great Black-backed Gull,Survey-wide,145,-94.68,-5.81,-14.79,-0.85,8.98,-14.46,-1.55,-14.51,4.17,12.96,5.82,100,98.45,96.924025,95.42170261,93.94266622,92.4865549,91.05301329,89.64169159,88.25224537,86.88433557,85.53762836,-14.46
Y,G,G,Y,31940,SUR,0,Great Blue Heron,Survey-wide,3542,24,0.44,0.16,0.68,0.28,8.83,0.85,0.15,1.62,0.7,0.68,100,100.85,101.707225,102.5717364,103.4435962,104.3228667,105.2096111,106.1038928,107.0057759,107.915325,108.8326052,8.83
G,G,G,G,4520,SUR,1,Great Crested Flycatcher,Survey-wide,2637,-1.46,-0.03,-0.16,0.1,0.13,0.4,0.04,-0.32,0.4,0.36,3.1,100,100.04,100.080016,100.120048,100.160096,100.2001601,100.2402401,100.2803362,100.3204484,100.3605765,100.4007208,0.4
